epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,17158.6,1.08044,11.1445,0.90884,0.71807,0.30073,0.4554,0.31553,0.86106,9.0962,0.82504,0.00012542,0.00012542,0.00012542
115,17286.4,1.05825,10.9697,0.89368,0.68928,0.31804,0.4568,0.31334,0.9003,9.19782,0.82977,0.00012476,0.00012476,0.00012476
116,17415.3,1.08916,11.2708,0.90935,0.71322,0.31469,0.45592,0.29887,0.99767,9.10929,0.83867,0.0001241,0.0001241,0.0001241
117,17546.5,1.08983,11.0673,0.91253,0.74645,0.29577,0.46429,0.3267,0.8893,8.98537,0.82064,0.00012344,0.00012344,0.00012344
118,17678.2,1.07575,10.9221,0.9028,0.72004,0.31227,0.45932,0.30035,0.92087,9.11734,0.83277,0.00012278,0.00012278,0.00012278
119,17808.3,1.09034,11.0216,0.91085,0.74994,0.30661,0.47107,0.32069,0.87804,9.08111,0.82582,0.00012212,0.00012212,0.00012212
120,17936.9,1.09156,10.877,0.90376,0.72829,0.31485,0.4798,0.32918,0.93422,8.98066,0.82985,0.00012146,0.00012146,0.00012146
121,18067.2,1.09196,11.0418,0.91524,0.76294,0.30703,0.4607,0.30917,0.85689,9.06026,0.82631,0.0001208,0.0001208,0.0001208
122,18196,1.07114,10.7981,0.90691,0.76962,0.29652,0.45831,0.32185,0.77314,8.82389,0.81909,0.00012014,0.00012014,0.00012014
123,18326.9,1.07696,10.8598,0.90168,0.70711,0.31104,0.45214,0.31301,0.79142,8.90882,0.82052,0.00011948,0.00011948,0.00011948
124,18456.9,1.07948,10.7907,0.90165,0.73594,0.30674,0.46347,0.32455,0.87289,8.92419,0.82215,0.00011882,0.00011882,0.00011882
125,18586.4,1.06072,10.6966,0.90028,0.72897,0.31494,0.48763,0.34015,0.84283,8.98193,0.82118,0.00011816,0.00011816,0.00011816
126,18714.1,1.04636,10.7458,0.89706,0.73136,0.31366,0.47402,0.33096,0.87711,8.87331,0.82542,0.0001175,0.0001175,0.0001175
127,18841.9,1.05343,10.8824,0.90126,0.7429,0.31396,0.47593,0.32188,0.90605,8.88372,0.82922,0.00011684,0.00011684,0.00011684
128,18970.7,1.04074,10.8285,0.89391,0.74444,0.31408,0.48319,0.32752,0.92897,8.86591,0.82841,0.00011618,0.00011618,0.00011618
129,19097.9,1.05226,10.7368,0.89247,0.7383,0.31807,0.48547,0.33079,0.90819,8.82498,0.82521,0.00011552,0.00011552,0.00011552
130,19229.6,1.07206,10.8089,0.90699,0.7518,0.31097,0.48521,0.33382,0.90432,8.86032,0.82554,0.00011486,0.00011486,0.00011486
131,19359.7,1.06615,10.9255,0.89876,0.7322,0.30737,0.48727,0.34441,0.8177,8.83134,0.82156,0.0001142,0.0001142,0.0001142
132,19489.8,1.07389,10.7487,0.90198,0.66996,0.32803,0.47815,0.33519,0.8598,8.84828,0.82482,0.00011354,0.00011354,0.00011354
133,19619.3,1.08158,10.9067,0.91669,0.75503,0.31088,0.48383,0.33978,0.84356,8.78819,0.82596,0.00011288,0.00011288,0.00011288
134,20915.5,1.06035,10.685,0.89714,0.68544,0.32553,0.48356,0.33899,0.86584,8.87119,0.8221,0.00011222,0.00011222,0.00011222
135,21087,1.06017,10.7954,0.89975,0.72596,0.31299,0.47545,0.3128,0.89896,8.90649,0.83026,0.00011156,0.00011156,0.00011156
136,21248,1.04884,10.5349,0.88752,0.74278,0.3095,0.47269,0.3247,0.86794,8.86996,0.82337,0.0001109,0.0001109,0.0001109
137,21413.9,1.04347,10.702,0.89337,0.74859,0.30954,0.48978,0.34019,0.83581,8.89213,0.82139,0.00011024,0.00011024,0.00011024
138,21592.8,1.0679,10.5916,0.89825,0.73081,0.32009,0.49084,0.33829,0.92411,8.8029,0.82954,0.00010958,0.00010958,0.00010958
139,21723,1.05257,10.7395,0.89872,0.7635,0.31494,0.49086,0.34368,0.91967,8.84068,0.82628,0.00010892,0.00010892,0.00010892
140,21858.7,1.05663,10.7122,0.89607,0.75508,0.32015,0.49329,0.34848,0.86749,8.81363,0.82013,0.00010826,0.00010826,0.00010826
141,21991.8,1.04914,10.7142,0.89553,0.76459,0.31984,0.48307,0.33484,0.83112,8.76688,0.82176,0.0001076,0.0001076,0.0001076
142,22178.2,1.02871,10.4697,0.89564,0.7103,0.32423,0.48819,0.34906,0.87532,8.75883,0.82186,0.00010694,0.00010694,0.00010694
143,22356.9,1.06775,10.6555,0.90651,0.73621,0.31786,0.48899,0.34724,0.86832,8.85044,0.81925,0.00010628,0.00010628,0.00010628
144,22476,1.04169,10.5678,0.89827,0.80403,0.30154,0.48277,0.31988,0.95301,8.88385,0.83,0.00010562,0.00010562,0.00010562
145,22654.5,1.04544,10.4603,0.89466,0.73725,0.31697,0.47376,0.32746,0.95576,8.92789,0.83104,0.00010496,0.00010496,0.00010496
146,22848,1.06349,10.6408,0.89669,0.69157,0.29838,0.47124,0.32683,0.91158,9.09234,0.82524,0.0001043,0.0001043,0.0001043
147,23008.9,1.06291,10.6436,0.90033,0.78203,0.30605,0.48128,0.33131,0.85611,8.82312,0.82557,0.00010364,0.00010364,0.00010364
148,23142.8,1.03405,10.4885,0.89759,0.7607,0.31095,0.48321,0.34127,0.91346,8.81197,0.83224,0.00010298,0.00010298,0.00010298
149,23321.7,1.04047,10.4937,0.89458,0.73065,0.32091,0.48266,0.32745,0.95325,8.84908,0.82912,0.00010232,0.00010232,0.00010232
150,23485.8,1.04751,10.5322,0.89728,0.80517,0.30079,0.47729,0.33811,0.8957,8.76745,0.82622,0.00010166,0.00010166,0.00010166
151,23630.6,1.04154,10.5791,0.89653,0.76058,0.32883,0.49003,0.34678,0.81747,8.75177,0.82013,0.000101,0.000101,0.000101
152,23815.6,1.04239,10.5664,0.89742,0.72683,0.32506,0.48597,0.33813,0.81746,8.81853,0.81791,0.00010034,0.00010034,0.00010034
153,23998,1.03321,10.4955,0.89469,0.79097,0.31183,0.4836,0.3406,0.81126,8.74582,0.81831,9.968e-05,9.968e-05,9.968e-05
154,24183.4,1.01797,10.4468,0.89098,0.79932,0.32296,0.5042,0.35578,0.78961,8.70595,0.81638,9.902e-05,9.902e-05,9.902e-05
155,24366.2,1.03348,10.5224,0.89148,0.76547,0.32795,0.49991,0.34776,0.8285,8.70096,0.81995,9.836e-05,9.836e-05,9.836e-05
156,24551.3,1.03174,10.524,0.90237,0.77807,0.31122,0.49035,0.35541,0.8299,8.75556,0.81703,9.77e-05,9.77e-05,9.77e-05
157,24737.7,1.01811,10.4008,0.89382,0.73141,0.30824,0.47982,0.33315,0.88757,8.90034,0.82528,9.704e-05,9.704e-05,9.704e-05
158,24910.3,1.06618,10.6118,0.89997,0.75556,0.31285,0.48374,0.34731,0.83444,8.81288,0.81774,9.638e-05,9.638e-05,9.638e-05
159,25091.4,1.00604,10.2766,0.88452,0.7448,0.32529,0.49067,0.34164,0.84021,8.77809,0.82,9.572e-05,9.572e-05,9.572e-05
160,25276.1,1.06412,10.6653,0.90805,0.76799,0.31731,0.48771,0.33487,0.86775,8.82069,0.82141,9.506e-05,9.506e-05,9.506e-05
161,25460.6,1.05676,10.4862,0.89577,0.7345,0.33036,0.49691,0.3468,0.88267,8.77052,0.82046,9.44e-05,9.44e-05,9.44e-05
162,25650.6,1.00636,10.2549,0.89022,0.71652,0.34696,0.49479,0.35793,0.82071,8.72967,0.81555,9.374e-05,9.374e-05,9.374e-05
163,25835.2,1.02996,10.4629,0.89311,0.74044,0.3256,0.48977,0.34941,0.82356,8.76331,0.81529,9.308e-05,9.308e-05,9.308e-05
164,25998,1.02927,10.3344,0.89716,0.77399,0.30687,0.47621,0.33045,0.87216,8.84497,0.82258,9.242e-05,9.242e-05,9.242e-05
165,26125.3,1.02635,10.5109,0.89427,0.73799,0.32696,0.48616,0.34204,0.85414,8.65932,0.81978,9.176e-05,9.176e-05,9.176e-05
166,26264.4,1.02582,10.4787,0.89828,0.74835,0.31435,0.4876,0.35272,0.77879,8.65035,0.81746,9.11e-05,9.11e-05,9.11e-05
167,26392.2,1.03245,10.31,0.89633,0.78526,0.31984,0.48344,0.34989,0.81711,8.63433,0.82099,9.044e-05,9.044e-05,9.044e-05
168,26560.2,1.01592,10.3975,0.89014,0.79159,0.31944,0.49376,0.35063,0.80158,8.61191,0.81499,8.978e-05,8.978e-05,8.978e-05
169,26719.1,0.99985,10.2538,0.88126,0.74867,0.32427,0.49228,0.3524,0.83652,8.69399,0.81785,8.912e-05,8.912e-05,8.912e-05
170,26837.2,1.03449,10.265,0.88755,0.73735,0.31785,0.49273,0.3571,0.84879,8.66693,0.8165,8.846e-05,8.846e-05,8.846e-05
171,26947.5,1.01363,10.198,0.89173,0.75625,0.32714,0.49864,0.34872,0.88542,8.75786,0.82723,8.78e-05,8.78e-05,8.78e-05
172,27059.3,1.02342,10.2773,0.89528,0.7708,0.31846,0.50226,0.34608,0.93923,8.80963,0.82868,8.714e-05,8.714e-05,8.714e-05
173,27180.7,1.03775,10.5138,0.89752,0.76687,0.32674,0.49432,0.35681,0.85062,8.67122,0.82137,8.648e-05,8.648e-05,8.648e-05
174,27299.7,0.97292,10.0711,0.88706,0.81407,0.31508,0.49972,0.35486,0.85991,8.76554,0.8247,8.582e-05,8.582e-05,8.582e-05
175,27426.3,1.00366,10.2523,0.87965,0.79701,0.31398,0.49813,0.35215,0.82623,8.70336,0.82205,8.516e-05,8.516e-05,8.516e-05
176,27548.4,0.99891,10.3602,0.88864,0.75074,0.32798,0.50014,0.36531,0.76149,8.59197,0.81662,8.45e-05,8.45e-05,8.45e-05
177,27663.8,1.01974,10.2994,0.8949,0.75736,0.32151,0.49467,0.35303,0.81685,8.67379,0.81526,8.384e-05,8.384e-05,8.384e-05
178,27783.5,1.03502,10.5101,0.8954,0.7368,0.31896,0.49231,0.34896,0.79265,8.66949,0.81919,8.318e-05,8.318e-05,8.318e-05
179,27938.4,0.98392,10.1959,0.88863,0.75553,0.31875,0.48862,0.3508,0.78805,8.62991,0.81176,8.252e-05,8.252e-05,8.252e-05
